"term","frequency","density","occurrence"
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaakeswvwwfcvwyfkapabaaap",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaakrgujkdaljhgyaxwxhxsvbulteql",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadhcsueerfjqmgvwywdnzwqgrmxh",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaagvsapweyxbytgyxreplfhkgswrocbm",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahjjoltwvgvcjzydvdsrjedojlvaamgaaf",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabywvogaaaaaaaabscaadngaaacvhzwiaaaaaa",2,1.44056931299249e-05,0.004
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaarlzdxbyvyzhrgblmhyvcwrlzdxbyaaaa",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaavyzhrgskeswvwalzdxaawfcvwyfklaaa",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacfiqrcnxiqjrkxkvmlckdfcezyrkmynnjrky",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaawvvzwzwjjfzdtdjpajnlovtkhhdfzqxy",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaafcvwyfklcuxrmplfajeswvwafhxlmhyvcwaaaaa",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaacuxrmplffhxlmhyvaevwyfklcuxrmplffgaaaaaaaaa",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaothgyosyjhdohljurmgdxbtjbtucrqikgazzkpwma",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaabyulglkswtnvpiwpyqklzapopdjznthtcytodnv",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaafcvwyfklcuxrmplfajeswvwafhxlmhyvcwaaaaaaaaa",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaahkquxpqiotafethrliipyfqbrmodyyfnrlnvopxxmo",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaacuxrmplffhxlmhyvagblmhyvcwrlzdxbyaaaaaaaaaaa",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaacuxrmplffhxlmhyvagblmhyvcwrlzdxbyaaaaxkk",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaafcvwyfklcuxrmplfaacxrmplffhxlmhyvagsaaaaaaaaaa",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaabcnmhoeclodjzgufjnyficqaawdeywjutnvkivleocjttu",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaabdtdjsxugidfdjnlpyaduyaaabbwvqrbugjgrsfdccc",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaakeswvwafhxlmhyvakqafpdgaaaqnzghnqqeprntgpqsobl",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaaaazsqaaaaaaaaadasbbwkrrsjyswkmuxacqmspdlakneyuntwj",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaacjwwsqqtgpjjdvjdqqollxpkmzdvrlgxpodmuvmjvrg",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaaaylzaazxvdkoabldumaaaaaqrthbnyulwamaaaaaajzonchobwkkry",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaaaixgzdpipuvqrqaafnlbzjjpfogfrqmzkofawgmffduympfqjfzp",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaaafcvwyfklcuxrmplfajeswvwwfcvwyfklaaaaaaaaaabmdoxutoz",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaaadzrbqezqfuebbxkezxplndtunvhbccevixpprkeuzpdtzahl",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaapmkzscptdskmnxtaapbhclusqxurxmfgnvatxsooldde",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaehdbwqtvzxsamaqdfaqpfficyaaajoyfazosscsqaehfumiprhxnpky",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaagigbvwcopyaqisuksdpdwxwhrrlwnzwsrtpuovedpelyllnczhf",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaaotzppvfnvyenyusgnjgzbbfdeuwlarhxaxamnswtsqcemnhoedly",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaavyzhrailcuxrmplfajeswvwwfcvwyfklaaaaaaaaaaaaaaaaaaaaahny",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaazgabldumrqaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaamrqmrqgaoksbegngaayhld",1,7.20284656496247e-06,0.002
"aaaaaaaaaaanssiafmljltnbkfubtiyxlzgyooddujccljmdukrxjdqsfvxumeiodkmvb",1,7.20284656496247e-06,0.002
"aaaaaaaaaaaulbdjzsejtyfhgouenlxtfwoxioreuldzwdocwtpfayfqtcdc",1,7.20284656496247e-06,0.002
"aaaaaaaaaaevxyegdtcwmuajzuagvwnpwaegtuytwovpukyzsxuecedzzwkzgvblvo",1,7.20284656496247e-06,0.002
"aaaaaaaaaapldwuzytdoxbbqkhovauafnaxvttnrjxpmlfwkywggoagfdaawdxacwe",1,7.20284656496247e-06,0.002
"aaaaaaaaaavyzhrgskeswvwalzdxbyvyzhrgsaaaaaaaaaaaaaaaaaaaaaaaaaaa",1,7.20284656496247e-06,0.002
"aaaaaaaaavqaaahdaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadhcsuefbdm",2,1.44056931299249e-05,0.004
"aaaaaaaablzxniaaaaaaaaaayuoyuqaazxuaaaaaaaaaaaaaaaaavnezweqevqfvplzbvfk",1,7.20284656496247e-06,0.002
"aaaaaaabaaidbaugbwgjcgsqaaeeaqmcbaifbwyibqmmmweaahedbcesmqvbuwetingbmgyu",2,1.44056931299249e-05,0.004
"aaaaaaabxgaaavqaaaazadaaoaawagoatablagaawbhafcabwbsagyazwbhagazwaadca",1,7.20284656496247e-06,0.002
"aaaaaaahyydmdxxzztnfnhifnmjsxxpbknocecjwlqgxwmsgpwpeffltkpwr",1,7.20284656496247e-06,0.002
"aaaaaaawjtjzbneebukttcvleoxwwywnyxvuofqjcvkxgkyyqqszyuqncxgumxzswre",1,7.20284656496247e-06,0.002
"aaaaaahdjxpnjcsocyphqpselpjysztewzvxkuwamqaaadbqdbzvfkevhclxstte",1,7.20284656496247e-06,0.002
"aaaaaaodurakocwnkxuryjztvhyxgajzhplsjnjulpptbpwnflyezshjul",1,7.20284656496247e-06,0.002
"aaaaaaqaaaaeoejjtqqzekzyiedsbjhbcbbbhrpdhvkzqaaaaaeaaaahjhcsudwtqcmlu",1,7.20284656496247e-06,0.002
"aaaaabxqfvplzbpxsvnkguoadbiaaboptwjqorwifunmudzagcyrewmxj",1,7.20284656496247e-06,0.002
"aaaaafdsthjhfciwaejanctidrrlizdfputshjkxetrddmmkovzwvwzoekmudjvewba",1,7.20284656496247e-06,0.002
"aaaaafuaaaabaqaaaaaqqbkagaygblacaauaboagadabvahmaaabvahaaaaataeeazabv",1,7.20284656496247e-06,0.002
"aaaaagfuarszqopdpmgxvaadilfrgmcsxmsnbqqhbcfdtuqhziowdymfovgn",1,7.20284656496247e-06,0.002
"aaaaanmtyxbwbaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",2,1.44056931299249e-05,0.004
"aaaaapmbaaeaaaabzdzxhaaaaaenvchlyawdodcbbchbszsbdbwdxrlciwgswjliax",2,1.44056931299249e-05,0.004
"aaaaaqaacyzmgaaaaaaarmfaaalpvvsaaaaadpdrvvaaagjwaalevgao",2,1.44056931299249e-05,0.004
"aaaaavyzhrgskeswvwalzdxaawfcvwyfklaaaaaaaaaaaajzfthklnypnriljr",1,7.20284656496247e-06,0.002
"aaaaaztrqzwwqybswvagyviwxhbgmedlliuoenrfygxnmcqhtgeprrywfraab",1,7.20284656496247e-06,0.002
"aaaacbbfddfddcfccdbbdcabddebcedcc",1,7.20284656496247e-06,0.002
"aaaacrlcmaaaeiaaaanjywvoaaagoaaaafgdywvoaaagaaaafgjywvoaaahqaaaafhju",2,1.44056931299249e-05,0.004
"aaaacuxrmplffhxlmhyvagblmhyvcwrlzdxbyaaaahouusjoaiswtpnowuyeizt",1,7.20284656496247e-06,0.002
"aaaadiyuqaaaaakstqaaaaaaaaaajpnkkomtlihqaaattpkaaaaaaaaaaaaaaaaetaa",1,7.20284656496247e-06,0.002
"aaaahdaqaosbsghubuyxlgtvzaegoorsjukbztcrboonoygcnjzasakqgixpa",1,7.20284656496247e-06,0.002
"aaaamzjzqaaaiaaaamgnoywqaaajsaaaalgrlcmaaaaaaaaaffsbgdlbwvpbmvzifjh",2,1.44056931299249e-05,0.004
"aaaaoblngvkdoaaazqaazqaadkaaaaaaaaaaaaaaaaaazxvdkoaaaaaaaaaaaaaaaaaaaaaaaaa",1,7.20284656496247e-06,0.002
"aaaavebyvebnlpzuxrmplfabyvyzhrgsobqaaaaaaaayttdtdxchvgzvternznyse",1,7.20284656496247e-06,0.002
"aaaazaaaaaeaawmdapaascpaaeaaqaaaaaaaaaaaaaaagaiabkbkaaaaaaaaaaaaaaaaaaa",2,1.44056931299249e-05,0.004
"aaabbgqydocgoqqhbvoiaadareccbkkeoghzmcydjowcwagaicontuaqadgcqybbsbobhaaweqc",1,7.20284656496247e-06,0.002
"aaacbfbcaacefcbabccfbcd",1,7.20284656496247e-06,0.002
"aaadwwanyioaaoavdwgdujtzuwcbgiacgascjkoxfkigaoahrwghioaot",1,7.20284656496247e-06,0.002
"aaaecaabawscaihbjgyqaxazdkgfahzafwsiepglvwuijjagcaqljjkfsqbsarnacejkxy",1,7.20284656496247e-06,0.002
"aaahkvkbhucuiehvbwugucztieubgluzsbtdxblcibtdgyzsaoahrcdovlddyqbhu",1,7.20284656496247e-06,0.002
"aaaoxaaadsqblssogwaajjrefuenrsqtgdlpvstwctvbegyrjmjqzgehbnnjji",1,7.20284656496247e-06,0.002
"aabcwdbngeqevfdpmgxkhhrvppckdtllnptwppmfnkrwfsmpodkaiyevglwl",1,7.20284656496247e-06,0.002
"aabemgaaraabhzwflaiaaaaaaaacspaaawwaaatpjdxjaaaaaaaaaaebzaaawflaiaaa",2,1.44056931299249e-05,0.004
"aabvvqeoiixjjetjoamroakfwoliqfbtpmxnhawfrkacdddpqcuaseibdtahroax",1,7.20284656496247e-06,0.002
"aacdbcebcaababccdcbcbcbfaababa",1,7.20284656496247e-06,0.002
"aacgkguaaqaaajacaacgkgmaaqaaaaiaaaayaqiafaaaajgcaacgkgqaaqaaakcaacgkgqa",1,7.20284656496247e-06,0.002
"aackjajganphafiuaksnaaqeabwisaiuafbcadfxcfqagvjadstblexackqaeksadpadfbac",1,7.20284656496247e-06,0.002
"aacnetfmpvjrxpuzpnlunbjliucsjijyvoxctlxhqufmdlpkhsyxfpdkzyowlrn",1,7.20284656496247e-06,0.002
"aacqaaaazaaaacoaaaakaaaaagabaaiabaaaafioaacaacabaaaadaxmdaaaaaacgcgkgma",1,7.20284656496247e-06,0.002
"aactive",5,3.60142328248124e-05,0.01
"aactivecolorffcc",1,7.20284656496247e-06,0.002
"aactivefontfamilyverdanacolorfffontsizepxfontweightboldtextdecorationunderline",1,7.20284656496247e-06,0.002
"aadaanceixpcojuaenwjpkawkridkuqoxicugmchfdiaiaisujckqeailvidbphjsphjqb",1,7.20284656496247e-06,0.002
"aadffrbbjytozdmdfywtbjvvofavamvasrddrlvppfkzmhzhwimztyadw",2,1.44056931299249e-05,0.004
"aadgaoqwrvymuaziaaaaabsahaamcagicqgmcqkmeqskcxevdwwmdxuyexmvexmyeqwm",2,1.44056931299249e-05,0.004
"aaeaaaaaaaaaaaaaaaaaaaaaoejjtqptcljlcsdxrpbaaaaaeabiaaaaaqacaegaaaab",2,1.44056931299249e-05,0.004
"aaeabgzmaayaaaaaaaealzmaaeaozmaaayaaaaaaaeamgaaaaeawgaaaayaaaaaaaeanqaa",2,1.44056931299249e-05,0.004
"aaealqaaaayaaaaaaaeqklnagxqsbigvhjhbnnmzxiguvdgluzmaaabwaad",2,1.44056931299249e-05,0.004
"aaebumabrihcjzaagioymxjpjdscblyrxvjugrihgqyeikcokcarjorhgswgijqzhnxhniib",1,7.20284656496247e-06,0.002
"aaefvhwhpopanrlixynbzraknilsxovklzotnmmjopnejjwpxdfwxpfrmruvomqr",1,7.20284656496247e-06,0.002
"aaevswzxnkxehlwzvzeyyekimccfzqfkzzydmtacaaehyvqlnidwcglwrdicjywaccceo",1,7.20284656496247e-06,0.002
"aafaaaaaaaaaaaaaadbahdowdwaojbaahchcacogaaahnvxhfuinarlyrzqpvbyp",1,7.20284656496247e-06,0.002
"aafahwwyvkmfkdewqclibxniohabkaubawyciarrgwaqmigemaaztyxmbbmthagvizvaqw",1,7.20284656496247e-06,0.002
"aafcgkiigdwlnrvkwxozsgpgzfbxgwdpulcbiikwwohopikahtavzjvmjhnkekunrrglf",1,7.20284656496247e-06,0.002
"aafxpvnlmzcwtxccupxekfohnhlhwjnzyxmraomglscpgbhzktxbtb",2,1.44056931299249e-05,0.004
"aaggonwwtzgglxiddabbgaqlypsygbamncaagwhwiuablbseiefggjlbikygqgwumaa",1,7.20284656496247e-06,0.002
"aaghbpsptxncmvkdcjskbmgkisrssiubroojwdeyvxrvujpczymuqf",1,7.20284656496247e-06,0.002
"aahaqdbtqfajagagmacslqglkhfjcsjrnvrtjdlyymezvncqgsrydwdtuyhiardawq",1,7.20284656496247e-06,0.002
"aaibqddwnsnxcspceiznzduwrhglrlcwsvebjvgtawebhsorhqdsonxvjmaem",1,7.20284656496247e-06,0.002
"aaiqklnbayrlggrxvymfsiexpzhawniefuzxlaaaaaaqaaaaeoejjtqqzekzyieds",2,1.44056931299249e-05,0.004
"aairaxeapwdxxttxvjahwmdaohvovsjyzzxmvyxpbogtcgelmapuymmsbven",1,7.20284656496247e-06,0.002
"aakajqajcebbavsymzhlsqhqnxvozcttmgiegcybemskdlmialumqlmedosnkhynamidrszvd",1,7.20284656496247e-06,0.002
"aamamhjhpcmegscaddbjccwkcguqpkmbakekigrkmqeffqabafvcsqikhdyjwwgmghcemdv",1,7.20284656496247e-06,0.002
"aamulzxgckaldgacaaaaaaaaaaaaaaaacruuluquwsppavaaqllbbzxizabszroqstr",1,7.20284656496247e-06,0.002
"aaokxmkbohdjezhwehxpewuuepszsvniuwnhmgyngebynxrsv",1,7.20284656496247e-06,0.002
"aaqaaaaaoejjtqqablnsawnlcwaaaacbaaaabgaaaaaaaaaaaaabqaaavqaaaaqaesamqag",2,1.44056931299249e-05,0.004
"aaqfeuektvhuuvidclgeyenqagakdodzyqytleycsywserclhosipyqvlrer",1,7.20284656496247e-06,0.002
"aaqgcqdkadoucfwxxfglajsntayecbuafbxcbdlqwrzfxglkmiyswaiojicdpawrvykat",1,7.20284656496247e-06,0.002
"aaqoctcpishqccowcmzdglxxljahidvibgagcamdmnetjasjtiosznnydbtwloowgeh",1,7.20284656496247e-06,0.002
"aaqskzjrgabageasabiaadgaoqwrvymuaziaaaaabsahaamcagicqgmcqkmeqskcxev",1,7.20284656496247e-06,0.002
"aatuiigcqhhpsaeyeliiczhuwasaaattzkmqzkgtvwproadpdxqgmanrcgciajthxetw",1,7.20284656496247e-06,0.002
"aavanbwdhyvehpwchnydjyfacnhwcsuhzpwpwawayvtsogmeeczpawva",2,1.44056931299249e-05,0.004
"aavishkar",1,7.20284656496247e-06,0.002
"aavsvdklgvyrdyasobzhhdzhvubipsvxbckltepquzlyrniojsdaicg",2,1.44056931299249e-05,0.004
"aavwwavyuipwiparpgiwbcewwideoffjiausnymuoilqsiaaoiyymdwisgbauarzwavu",1,7.20284656496247e-06,0.002
"aawebsite",1,7.20284656496247e-06,0.002
"aawhnoaaaaaaaaagqaokcxlamsbksistxvaammspryulfzbwvebhhoksbkknhyuvltjdqo",1,7.20284656496247e-06,0.002
"aawmacjvbsererererererererererfvsyiillbjwljxxcucypkkpjlmmmirwcxlc",1,7.20284656496247e-06,0.002
"aayaaaatlbcudunhmomztoaqyelkuztprdzixaernwdyydtulxootasbbsoetg",1,7.20284656496247e-06,0.002
"aayehmttjdgywmgtnkqkplwwwpplwnstmxjydxboxbouwzekfiegklywawvp",1,7.20284656496247e-06,0.002
"aaymeeiirbdgsbckokmmnoiunfbgkaojddsoagagiwrijshduwqhjwdbettmezpgibas",1,7.20284656496247e-06,0.002
"aazhcfvrbmkibakyagqvyituxaiusnicdzbqgcirrxekuwogczwafimwieqaaayepg",1,7.20284656496247e-06,0.002
"abacha",6,4.32170793897748e-05,0.01
"abandon",2,1.44056931299249e-05,0.004
"abandoned",4,2.88113862598499e-05,0.006
"abatementbr",1,7.20284656496247e-06,0.002
"abbqlsaekrmkibkiaxipiabggexvmkgseoavdvitwhkqfrzwvjiyjnvrjllqybhvd",1,7.20284656496247e-06,0.002
"abcc",4,2.88113862598499e-05,0.002
"abcwjgdizrmaihugbhaytwfzunjnqgltdeabhgmkewumbcnqimekcqgaqmdxmgv",1,7.20284656496247e-06,0.002
"abdxtkydtcwqmkkhviorxxjwqyowtjgibvoiizckxqqepmoilngkaadyksurbvnpg",1,7.20284656496247e-06,0.002
"abfontfont",2,1.44056931299249e-05,0.004
"abgsntxsliiinzzkarxkojouyggafgcrfhlrycskdupyjplixktafggzz",1,7.20284656496247e-06,0.002
"abgzqjgkfvnjabugwhneqaqjdocsmeyiwtfqgiiqdyyivfeggmvadpucuoptbha",1,7.20284656496247e-06,0.002
"abhixuyqkjhqaixgtvlwhlntpypbobfgaaqrnvccoyksupiwosgbzlegbmleouvtnpyni",1,7.20284656496247e-06,0.002
"abhoeqmptrjitkedufuaabnhufuagwpdccanhufugabdccnzwagbngbsnzw",1,7.20284656496247e-06,0.002
"abide",1,7.20284656496247e-06,0.002
"abidjan",13,9.36370053445122e-05,0.014
"abidjancote",1,7.20284656496247e-06,0.002
"ability",13,9.36370053445122e-05,0.024
"abilitynbspb",1,7.20284656496247e-06,0.002
"abjwyrloaucykxilcwveleaenwidyrpksovflgexstwaplguydyygghtfwkrlrfwr",1,7.20284656496247e-06,0.002
"able",29,0.000208882550383912,0.042
"abncfisvzvirljgccikyqpdbhxalkkgbtboaehhwblgvaruosamudwpbfvietcnr",1,7.20284656496247e-06,0.002
"abnormal",4,2.88113862598499e-05,0.004
"abo",1,7.20284656496247e-06,0.002
"abonnement",4,2.88113862598499e-05,0.004
"abonnements",2,1.44056931299249e-05,0.004
"abonnés",2,1.44056931299249e-05,0.004
"aboriginal",5,3.60142328248124e-05,0.002
"about",12,8.64341587795497e-05,0.024
"aboutbbr",1,7.20284656496247e-06,0.002
"aboutbecause",1,7.20284656496247e-06,0.002
"aboutfontbfont",1,7.20284656496247e-06,0.002
"aboutnbspb",1,7.20284656496247e-06,0.002
"aboutu",4,2.88113862598499e-05,0.008
"above",25,0.000180071164124062,0.034
"abovee",1,7.20284656496247e-06,0.002
"abovefontfont",3,2.16085396948874e-05,0.006
"aboveimg",1,7.20284656496247e-06,0.002
"abovetelefax",1,7.20284656496247e-06,0.002
"abpbr",1,7.20284656496247e-06,0.002
"abpnusrepuknxnnanmdmdnwzbthyfyrgrhwvamemztwrmwgobjtdjussf",2,1.44056931299249e-05,0.004
"abptdtr",1,7.20284656496247e-06,0.002
"abqdnmlhkebwwtgrhflhmfpgiwxbcmgnbxlzqupxybtoeeirixjgbpqxygecag",1,7.20284656496247e-06,0.002
"abqkudczoeknennspwrfrrhvjqgaiasrtezadsohaeezzqwxfw",2,1.44056931299249e-05,0.004
"abqqursbubyxmaanuaapwkusubzijdjybaagilijowiejsajecciflygkvkuagirvbis",1,7.20284656496247e-06,0.002
"abr",16,0.0001152455450394,0.016
"abrlittle",1,7.20284656496247e-06,0.002
"abroad",5,3.60142328248124e-05,0.008
"abrtime",1,7.20284656496247e-06,0.002
"abrtrhjphpbpkkhcqmltlkqufheyxehuxndcycschabkqufmhlvtaqfwvadpmrc",1,7.20284656496247e-06,0.002
"absence",3,2.16085396948874e-05,0.004
"absolute",6,4.32170793897748e-05,0.008
"absolutely",61,0.000439373640462711,0.082
"abstract",2,1.44056931299249e-05,0.004
"abu",2,1.44056931299249e-05,0.002
"abundant",1,7.20284656496247e-06,0.002
"abuse",18,0.000129651238169325,0.024
"abused",1,7.20284656496247e-06,0.002
"abusersimages",1,7.20284656496247e-06,0.002
"abuses",2,1.44056931299249e-05,0.002
"abwgqexygfwnokxjzdhocyhiwuillwmmvfiaehstavzkcuxgkdfjgdgmrgaoqicoinsg",1,7.20284656496247e-06,0.002
"abwxuqcxzgzwdfsjkgrtewqdptlcwpwsgvynbzyfatolqwajukwcqcgmywctarkgnsiq",1,7.20284656496247e-06,0.002
"abxlmhyvcwrlzdxaaalzdxbyvyzhrailaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",1,7.20284656496247e-06,0.002
"acaameydgesgmfmlfrqgaodgdejojvduhoxdlmaxbqyqoaaoabgaxigrxiggtiuwibyqb",1,7.20284656496247e-06,0.002
"academic",3,2.16085396948874e-05,0.006
"acbaglzihbybnlcnpbmcgzmvllizuynnwoybgbigzwfjaczuynnwozxicjnciagicagigfk",1,7.20284656496247e-06,0.002
"acbbjlegyzyjeufyxqzscizgztugnbqjaumhiesoywtpiiqhipgbhiweafqaoiqnl",1,7.20284656496247e-06,0.002
"acbbybwyxjawnpcgfzsahpgjypgkicagicagpgjypgkicagicagpgzvbnqgysbiiimw",1,7.20284656496247e-06,0.002
"acbjagvjamuieyzgvycybwbgfjzwqgynkynidqogicagicbtblesbvcmrlcibvcibjyxno",1,7.20284656496247e-06,0.002
"acbjywgymugdxnlzcbbybywtlignhcmugbygyfzacbmbgiakbmvl",1,7.20284656496247e-06,0.002
"acbvcibhcybsaxrbgugdgltzsbhcybbugbmvlzcbbybzzwugawygdghp",1,7.20284656496247e-06,0.002
"accbcdfedbbdbdccaddacbaacdbaabc",1,7.20284656496247e-06,0.002
"acccount",1,7.20284656496247e-06,0.002
"accents",1,7.20284656496247e-06,0.002
"accept",28,0.000201679703818949,0.054
"acceptable",3,2.16085396948874e-05,0.006
"acceptance",5,3.60142328248124e-05,0.01
"accepted",24,0.000172868317559099,0.044
"acceptede",1,7.20284656496247e-06,0.002
"accepting",2,1.44056931299249e-05,0.004
"accesoriesnbsp",1,7.20284656496247e-06,0.002
"access",102,0.000734690349626172,0.108
"accessible",6,4.32170793897748e-05,0.012
"accessli",1,7.20284656496247e-06,0.002
"accessnbsp",1,7.20284656496247e-06,0.002
"accessopopspanp",1,7.20284656496247e-06,0.002
"accessories",5,3.60142328248124e-05,0.008
"accident",2,1.44056931299249e-05,0.004
"acclaimed",2,1.44056931299249e-05,0.002
"accolade",1,7.20284656496247e-06,0.002
"accommodate",1,7.20284656496247e-06,0.002
"accommodating",1,7.20284656496247e-06,0.002
"accommodations",1,7.20284656496247e-06,0.002
"accompagne",2,1.44056931299249e-05,0.004
"accompagnement",2,1.44056931299249e-05,0.004
"accompanying",2,1.44056931299249e-05,0.004
"accomplish",1,7.20284656496247e-06,0.002
"accomplished",1,7.20284656496247e-06,0.002
"accord",2,1.44056931299249e-05,0.004
"accordance",1,7.20284656496247e-06,0.002
"according",19,0.000136854084734287,0.024
"accordingly",2,1.44056931299249e-05,0.002
"account",98,0.000705878963366322,0.082
"accountability",3,2.16085396948874e-05,0.004
"accountant",6,4.32170793897748e-05,0.012
"accountantinternal",1,7.20284656496247e-06,0.002
"accounting",1,7.20284656496247e-06,0.002
"accounts",18,0.000129651238169325,0.032
"accross",1,7.20284656496247e-06,0.002
"accrued",3,2.16085396948874e-05,0.006
"accumulating",1,7.20284656496247e-06,0.002
"accumulation",1,7.20284656496247e-06,0.002
"accumulationp",1,7.20284656496247e-06,0.002
"accuracy",2,1.44056931299249e-05,0.002
